OBJECT_NAME,OBJECT_IDENTIFIER,OBJECT_DATA_TYPE,OBJECT_PREMISSIONS,OBJECT_CLASS,OBJECT_NODE_TYPE,OBJECT_DESCRIPTION
fgAppSuIndex,1.3.6.1.4.1.12356.101.10.107.2.1.1,fnindex,no-access,objecttype,column,"Index that uniquely identifies a scan unit in the fgAppSuStatsTable"
fgAppSuFileScanned,1.3.6.1.4.1.12356.101.10.107.2.1.2,counter32,read-only,objecttype,column,"Number of files scanned by this scan unit"
fgAppVoIP,1.3.6.1.4.1.12356.101.10.108,,,objectidentity,,""
fgAppVoIPStatsTable,1.3.6.1.4.1.12356.101.10.108.1,,no-access,objecttype,table,"A table of VoIP related statistics per virtual domain"
fgAppVoIPStatsEntry,1.3.6.1.4.1.12356.101.10.108.1.1,,no-access,objecttype,row,"VoIP statistics for a particular virtual domain"
fgAppVoIPConn,1.3.6.1.4.1.12356.101.10.108.1.1.1,gauge32,read-only,objecttype,column,"The current number of VoIP connections on the virtual domain"
fgAppVoIPCallBlocked,1.3.6.1.4.1.12356.101.10.108.1.1.2,counter32,read-only,objecttype,column,"Number of VoIP calls blocked (SIP Invites blocked and SCCP calls blocked) in this virtual domain"
fgAppP2P,1.3.6.1.4.1.12356.101.10.109,,,objectidentity,,""
fgAppP2PStatsTable,1.3.6.1.4.1.12356.101.10.109.1,,no-access,objecttype,table,"A table of P2P protocol related statistics per virtual domain"
fgAppP2PStatsEntry,1.3.6.1.4.1.12356.101.10.109.1.1,,no-access,objecttype,row,"P2P statistics for a particular virtual domain"
fgAppP2PConnBlocked,1.3.6.1.4.1.12356.101.10.109.1.1.1,counter32,read-only,objecttype,column,"Number of P2P connections blocked in this virtual domain"
fgAppP2PProtoTable,1.3.6.1.4.1.12356.101.10.109.2,,no-access,objecttype,table,"A table of peer to peer statistics per virtual domain per protocol. This table has a dependent expansion relationship with fgVdTable."
fgAppP2PProtoEntry,1.3.6.1.4.1.12356.101.10.109.2.1,,no-access,objecttype,row,"P2P statistics for a particular virtual domain and protocol"
fgAppP2PProtEntProto,1.3.6.1.4.1.12356.101.10.109.2.1.1,fgp2pproto,no-access,objecttype,column,"P2P protocol this row of statistics is for, within the specified virtual domain"
fgAppP2PProtEntBytes,1.3.6.1.4.1.12356.101.10.109.2.1.2,counter64,read-only,objecttype,column,"Number of bytes transferred through this virtual domain on this P2P protocol since last reset"
fgAppP2PProtoEntLastReset,1.3.6.1.4.1.12356.101.10.109.2.1.3,timeticks,read-only,objecttype,column,"Time elapsed since the corresponding fgAppP2PProtEntBytes was last reset to 0."
fgAppIM,1.3.6.1.4.1.12356.101.10.110,,,objectidentity,,""
fgAppIMStatsTable,1.3.6.1.4.1.12356.101.10.110.1,,no-access,objecttype,table,"A table of instant messaging statistics per virtual domain"
fgAppIMStatsEntry,1.3.6.1.4.1.12356.101.10.110.1.1,,no-access,objecttype,row,"IM statistics for a particular virtual domain"
fgAppIMMessages,1.3.6.1.4.1.12356.101.10.110.1.1.1,counter32,read-only,objecttype,column,"Total number of IM messages processed in this virtual domain"
fgAppIMFileTransfered,1.3.6.1.4.1.12356.101.10.110.1.1.2,counter32,read-only,objecttype,column,"Number of files transferred through this virtual domain"
fgAppIMFileTxBlocked,1.3.6.1.4.1.12356.101.10.110.1.1.3,counter32,read-only,objecttype,column,"Number of blocked file transfers in this virtual domain"
fgAppIMConnBlocked,1.3.6.1.4.1.12356.101.10.110.1.1.4,counter32,read-only,objecttype,column,"Number of connections blocked in this virtual domain"
fgAppProxyFTP,1.3.6.1.4.1.12356.101.10.111,,,objectidentity,,""
fgApFTPUpTime,1.3.6.1.4.1.12356.101.10.111.1,counter32,read-only,objecttype,scalar,"Up-time of the FTP proxy, in seconds"
fgApFTPMemUsage,1.3.6.1.4.1.12356.101.10.111.2,gauge32,read-only,objecttype,scalar,"FTP Proxy memory utilization, as a percentage of the system total"
fgApFTPStatsTable,1.3.6.1.4.1.12356.101.10.111.3,,no-access,objecttype,table,"A table of FTP proxy statistics per virtual domain"
fgApFTPStatsEntry,1.3.6.1.4.1.12356.101.10.111.3.1,,no-access,objecttype,row,"FTP Proxy statistics for a particular virtual domain"
fgApFTPReqProcessed,1.3.6.1.4.1.12356.101.10.111.3.1.1,counter32,read-only,objecttype,column,"Number of requests in this virtual domain processed by the FTP proxy since start-up"
fgApFTPConnections,1.3.6.1.4.1.12356.101.10.111.4,unsigned32,read-only,objecttype,scalar,"FTP proxy current connections"
fgApFTPMaxConnections,1.3.6.1.4.1.12356.101.10.111.5,unsigned32,read-only,objecttype,scalar,"Maximum number of connections supported by FTP proxy"
fgAppExplicitProxy,1.3.6.1.4.1.12356.101.10.112,,,objectidentity,,""
fgExplicitProxyInfo,1.3.6.1.4.1.12356.101.10.112.1,,,objectidentity,,""
fgExplicitProxyUpTime,1.3.6.1.4.1.12356.101.10.112.1.1,counter32,read-only,objecttype,scalar,"Explicit proxy up-time (in seconds)"
fgExplicitProxyMemUsage,1.3.6.1.4.1.12356.101.10.112.1.2,gauge32,read-only,objecttype,scalar,"Explicit proxy memory usage (percentage of system total)"
fgExplicitProxyRequests,1.3.6.1.4.1.12356.101.10.112.1.3,counter64,read-only,objecttype,scalar,"Explicit proxy total number of requests"
fgExplicitProxyStatsTable,1.3.6.1.4.1.12356.101.10.112.2,,no-access,objecttype,table,"A table of explicit proxy statistics per virtual domain"
fgExplicitProxyStatsEntry,1.3.6.1.4.1.12356.101.10.112.2.1,,no-access,objecttype,row,"Explicit proxy statistics for a particular virtual domain"
